,loss,binary_accuracy,val_loss,val_binary_accuracy
0,0.5157225131988525,0.7999954223632812,0.39630967378616333,0.882503092288971
1,0.35970941185951233,0.8995406031608582,0.3199390172958374,0.916155219078064
2,0.3019765317440033,0.920396089553833,0.27399352192878723,0.9307128190994263
3,0.26858970522880554,0.9311658143997192,0.24877005815505981,0.938252866268158
4,0.2477613240480423,0.9374167323112488,0.23030982911586761,0.9428258538246155
5,0.2326367199420929,0.9413214325904846,0.21903367340564728,0.9458955526351929
6,0.22038795053958893,0.9441508650779724,0.20657171308994293,0.9482331275939941
7,0.20972797274589539,0.9464786052703857,0.19680944085121155,0.9502373933792114
8,0.20000723004341125,0.9485392570495605,0.1856141835451126,0.9521122574806213
9,0.1910397708415985,0.9504613280296326,0.17832855880260468,0.9538645148277283
